"priceLogInc","b_cost","b_range","logLike"
-0.2447,-0.0552,0,-8275.76822583913
-0.2447,-0.0552,0,-8275.76822583913
-0.2447,-0.0552,0,-8275.76822583913
-0.244699405585639,-0.0551986705099046,0.00245847451120615,-8086.38372173725
-0.239763993083271,-0.0753297181608769,0.00252415407873009,-8083.60399296979
-0.216604310694199,-0.0747390468067752,0.0025319157788203,-8082.37342392864
-0.193489574623714,-0.0720655508316384,0.00358322041550402,-8061.49198003012
-0.193494903384921,-0.0727233619745043,0.00369413530490915,-8061.29869997966
-0.193541305658139,-0.0727881599717494,0.00369932393803614,-8061.29829759392
-0.193542252915677,-0.0727894289269836,0.00369935058367359,-8061.29829757116
